Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"Weather Description_Mainly clear, partly cloudy, and overcast","Weather Description_Rain showers: Slight, moderate, and violent",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO,Weather,Predicted_CO
2024-12-01 08:00:46,29.14306465,74.99544289,5.054286528,3,0,0,0,0,403.44929460272414,Other,401.72313302519825
2024-12-01 08:06:33,29.14192538,75.00085446,5.052321276,3,0,0,0,0,401.9125959655253,Other,401.966373533266
2024-12-01 08:12:00,29.1407861,75.00626602,5.050356024,3,0,0,0,0,401.6608768056861,Other,401.83709680859204
2024-12-01 08:18:54,29.13964682,75.01167758,5.048390772,3,0,0,0,0,402.7535415357939,Other,401.70767945057395
2024-12-01 08:24:54,29.13850755,75.01708915,5.04642552,3,0,0,0,0,401.7863243330251,Other,401.95130688069787
2024-12-01 08:30:25,29.13736827,75.02250071,5.044460268,3,0,0,0,0,400.4248461749206,Other,401.8218103361294
2024-12-01 08:36:42,29.13622899,75.02791228,5.042495016,3,0,0,0,0,401.0819497536581,Other,401.9432087571576
2024-12-01 08:42:09,29.13508972,75.03332384,5.040529764,3,0,0,0,0,401.30307823031495,Other,401.93618696964637
2024-12-01 08:48:29,29.13395044,75.0387354,5.038564512,3,0,0,0,0,402.3757988308027,Other,401.806470593222
2024-12-01 08:54:49,29.13281116,75.04414697,5.036599259,3,0,0,0,0,402.1491200054903,Other,401.86591687047076
2024-12-01 09:00:17,29.13167189,75.04955853,5.034634007,3,0,0,0,0,402.6541052368914,Other,401.85887112378185
2024-12-01 09:06:16,29.13053261,75.05497009,5.032668755,3,0,0,0,0,401.56471973399886,Other,401.72890451659794
2024-12-01 09:12:25,29.12939334,75.06038166,5.030703503,3,0,0,0,0,402.81896558821575,Other,401.97359985450504
2024-12-01 09:18:07,29.12825406,75.06579322,5.028738251,3,0,0,0,0,401.4386111374826,Other,401.84355409802356
2024-12-01 09:24:46,29.12711478,75.07120478,5.026772999,3,0,0,0,0,400.7747456513126,Other,401.7133676838864
2024-12-01 09:30:39,29.12597551,75.07661635,5.024807747,3,0,0,0,0,401.4903377266563,Other,401.9584493205518
2024-12-01 09:36:48,29.12483623,75.08202791,5.022842495,3,0,0,0,0,402.8714255066324,Other,401.8281837506464
2024-12-01 09:42:11,29.12369695,75.08743948,5.020877243,3,0,0,0,0,400.0613430778303,Other,401.95020704565934
2024-12-01 09:48:26,29.12255768,75.09285104,5.018911991,3,0,0,0,0,400.6796801414396,Other,401.9432462359203
2024-12-01 09:54:07,29.1214184,75.0982626,5.016946739,3,0,0,0,0,401.4176984825772,Other,401.8127608118073
2024-12-01 10:00:24,29.12027912,75.10367417,5.014981487,3,0,0,0,0,400.0,Other,401.93494440711726
2024-12-01 10:06:45,29.11913985,75.10908573,5.013016235,3,0,0,0,0,402.52064596485263,Other,401.9279901465141
2024-12-01 10:12:03,29.11800057,75.11449729,5.011050983,3,0,0,0,0,402.6280724076145,Other,401.7972849546607
2024-12-01 10:18:32,29.11686129,75.11990886,5.009085731,3,0,0,0,0,402.3379333764533,Other,401.91962843303514
2024-12-01 10:24:00,29.11572202,75.12532042,5.007120478,3,0,0,0,0,401.11850591485455,Other,401.8501103737871
2024-12-01 10:30:18,29.11458274,75.13073199,5.005155226,3,0,0,0,0,402.2770033616519,Other,401.9725979230927
2024-12-01 10:36:30,29.11344346,75.13614355,5.003189974,3,0,0,0,0,402.8800188572932,Other,401.84162844798925
2024-12-01 10:42:15,29.11230419,75.14155511,5.001224722,3,0,0,0,0,402.2184253267214,Other,401.83465686773116
2024-12-01 10:48:13,29.11116491,75.14696668,4.99925947,3,0,0,0,0,402.11115124416426,Other,401.9573046875314
2024-12-01 10:54:52,29.11002563,75.15237824,4.997294218,3,0,0,0,0,402.2733287726968,Other,401.82611550488315
2024-12-01 11:00:47,29.10888636,75.1577898,4.995328966,3,0,0,0,0,403.7186697736813,Other,401.8191504125854
2024-12-01 11:06:04,29.10774708,75.16320137,4.993363714,3,0,0,0,0,401.501339158456,Other,401.94195814525244
2024-12-01 11:12:40,29.1066078,75.16861293,4.991398462,3,0,0,0,0,400.9942012150066,Other,401.8105491640815
2024-12-01 11:18:25,29.10546853,75.17402449,4.98943321,3,0,0,0,0,401.1492148747549,Other,401.8035906869949
2024-12-01 11:24:27,29.10432925,75.17943606,4.987467958,3,0,0,0,0,401.3392836484105,Other,401.92655906170575
2024-12-01 11:30:01,29.10318997,75.18484762,4.985502706,3,0,0,0,0,401.3072487398261,Other,401.79493024671905
2024-12-01 11:36:49,29.1020507,75.19025919,4.983537454,3,0,0,0,0,401.4991343744014,Other,402.0428149506099
2024-12-01 11:42:05,29.10091142,75.19567075,4.981572202,3,0,0,0,0,401.9619427667217,Other,401.911106979855
2024-12-01 11:48:08,29.09977214,75.20108231,4.97960695,3,0,0,0,0,402.1428658291675,Other,401.77925843144095
2024-12-01 11:54:32,29.09863287,75.20649388,4.977641698,3,0,0,0,0,401.7254865034497,Other,402.02752938291593
2024-12-01 12:00:40,29.09749359,75.21190544,4.975676445,3,0,0,0,0,401.0348655410552,Other,401.83254306402694
2024-12-01 12:06:24,29.09635432,75.217317,4.973711193,3,0,0,0,0,401.6160909195569,Other,401.8256389922449
2024-12-01 12:12:47,29.09521504,75.22272857,4.971745941,3,0,0,0,0,404.2101190330068,Other,401.94907161379786
