Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"Weather Description_Mainly clear, partly cloudy, and overcast","Weather Description_Rain showers: Slight, moderate, and violent",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO_Concentration (ppm)
2024-11-01 08:00:38,32.21911136428368,60.38422101965252,10.360467103389349,3.0,0.0,0.0,0.0,0.0,607.9365243270364
2024-11-01 08:06:51,32.21797208772429,60.3896325833096,10.358501851324409,3.0,0.0,0.0,0.0,0.0,601.5841536274224
2024-11-01 08:12:28,32.216832811164906,60.39504414696668,10.35653659925947,3.0,0.0,0.0,0.0,0.0,609.4410958623514
2024-11-01 08:18:14,32.21569353460552,60.40045571062375,10.35457134719453,3.0,0.0,0.0,0.0,0.0,618.191922887635
2024-11-01 08:24:42,32.214554258046135,60.40586727428083,10.352606095129593,3.0,0.0,0.0,0.0,0.0,600.6175044185313
2024-11-01 08:30:07,32.21341498148675,60.41127883793791,10.350640843064657,3.0,0.0,0.0,0.0,0.0,600.6150824384831
2024-11-01 08:36:20,32.21227570492737,60.41669040159498,10.348675590999717,3.0,0.0,0.0,0.0,0.0,618.745994005259
2024-11-01 08:42:38,32.211136428367986,60.42210196525207,10.346710338934775,3.0,0.0,0.0,0.0,0.0,610.6256269839245
2024-11-01 08:48:57,32.2099971518086,60.427513528909145,10.344745086869835,3.0,0.0,0.0,0.0,0.0,598.2539496752561
2024-11-01 08:54:18,32.208857875249215,60.43292509256622,10.3427798348049,3.0,0.0,0.0,0.0,0.0,608.3717078126754
2024-11-01 09:00:22,32.20771859868983,60.4383366562233,10.34081458273996,3.0,0.0,0.0,0.0,0.0,598.3093442909013
2024-11-01 09:06:10,32.206579322130445,60.443748219880376,10.33884933067502,3.0,0.0,0.0,0.0,0.0,598.2836375255335
2024-11-01 09:12:10,32.20544004557106,60.44915978353745,10.336884078610083,3.0,0.0,0.0,0.0,0.0,605.3579716191067
2024-11-01 09:18:23,32.204300769011674,60.45457134719453,10.334918826545143,3.0,0.0,0.0,0.0,0.0,583.8029602990786
2024-11-01 09:24:52,32.20316149245229,60.45998291085161,10.332953574480204,3.0,0.0,0.0,0.0,0.0,585.6839982627364
2024-11-01 09:30:35,32.2020222158929,60.465394474508685,10.330988322415266,3.0,0.0,0.0,0.0,0.0,597.3077151376672
2024-11-01 09:36:39,32.20088293933352,60.47080603816576,10.329023070350328,3.0,0.0,0.0,0.0,0.0,592.7996930689429
2024-11-01 09:42:23,32.19974366277413,60.476217601822846,10.32705781828539,3.0,0.0,0.0,0.0,0.0,606.0678914404501
2024-11-01 09:48:02,32.198604386214754,60.48162916547992,10.32509256622045,3.0,0.0,0.0,0.0,0.0,593.8425912014955
2024-11-01 09:54:21,32.19746510965537,60.487040729137,10.323127314155512,3.0,0.0,0.0,0.0,0.0,588.7972087855649
2024-11-01 10:00:52,32.19632583309598,60.49245229279408,10.321162062090572,3.0,0.0,0.0,0.0,0.0,617.5741473303434
2024-11-01 10:06:01,32.1951865565366,60.497863856451154,10.319196810025634,3.0,0.0,0.0,0.0,0.0,600.6573104784727
2024-11-01 10:12:23,32.19404727997721,60.50327542010823,10.317231557960694,3.0,0.0,0.0,0.0,0.0,603.5877693724275
2024-11-01 10:18:43,32.19290800341783,60.50868698376531,10.315266305895756,3.0,0.0,0.0,0.0,0.0,588.6624193056239
2024-11-01 10:24:29,32.19176872685844,60.51409854742239,10.313301053830818,3.0,0.0,0.0,0.0,0.0,597.4634877647169
2024-11-01 10:30:37,32.190629450299056,60.51951011107946,10.311335801765878,3.0,0.0,0.0,0.0,0.0,604.0139547492774
2024-11-01 10:36:01,32.18949017373967,60.52492167473654,10.30937054970094,3.0,0.0,0.0,0.0,0.0,591.392206920166
2024-11-01 10:42:59,32.188350897180285,60.53033323839362,10.307405297636,3.0,0.0,0.0,0.0,0.0,606.6565367200559
2024-11-01 10:48:20,32.1872116206209,60.5357448020507,10.305440045571062,3.0,0.0,0.0,0.0,0.0,596.8905834796213
2024-11-01 10:54:32,32.18607234406152,60.54115636570778,10.303474793506124,3.0,0.0,0.0,0.0,0.0,599.9774467230869
2024-11-01 11:00:11,32.184933067502136,60.546567929364855,10.301509541441185,3.0,0.0,0.0,0.0,0.0,596.8747319409359
2024-11-01 11:06:57,32.18379379094275,60.55197949302193,10.299544289376248,3.0,0.0,0.0,0.0,0.0,621.4119937505294
2024-11-01 11:12:21,32.182654514383366,60.55739105667901,10.297579037311309,3.0,0.0,0.0,0.0,0.0,602.7516535002709
2024-11-01 11:18:43,32.18151523782398,60.562802620336086,10.295613785246369,3.0,0.0,0.0,0.0,0.0,592.3069303003015
2024-11-01 11:24:24,32.180375961264595,60.56821418399316,10.293648533181427,3.0,0.0,0.0,0.0,0.0,611.1069025531026
2024-11-01 11:30:48,32.17923668470521,60.57362574765024,10.291683281116493,3.0,0.0,0.0,0.0,0.0,590.6704307745706
2024-11-01 11:36:26,32.178097408145824,60.57903731130732,10.289718029051553,3.0,0.0,0.0,0.0,0.0,604.9649170665386
